idFactura,idCliente
1,61
2,10
3,4
4,21
5,74
6,4
7,31
8,3
9,13
10,10
11,66
12,98
13,77
14,63
15,3
16,46
17,80
18,99
19,36
20,81
21,59
22,78
23,95
24,63
25,59
26,65
27,42
28,58
29,1
30,8
31,86
32,3
33,18
34,67
35,80
36,64
37,19
38,92
39,66
40,42
41,14
42,96
43,17
44,42
45,92
46,66
47,74
48,92
49,23
50,46
51,51
52,46
53,36
54,79
55,79
56,25
57,8
58,13
59,28
60,81
61,32
62,25
63,46
64,63
65,46
66,45
67,78
68,15
69,48
70,46
71,39
72,51
73,40
74,36
75,14
76,19
77,74
78,67
79,4
80,38
81,46
82,19
83,93
84,62
85,60
86,2
87,96
88,12
89,39
90,58
91,8
92,69
93,91
94,45
95,75
96,32
97,98
98,61
99,39
