idProducto,nombre,valor
1,"nisl sem,",92
2,Nam consequat,51
3,ut erat.,28
4,non magna. Nam,60
5,rutrum lorem,32
6,metus.,59
7,Nam interdum,17
8,urna et,57
9,adipiscing elit. Curabitur,86
10,neque vitae,4
11,nulla. Integer,65
12,vitae sodales,78
13,per,27
14,"neque tellus,",33
15,egestas nunc sed,79
16,ultrices iaculis odio.,60
17,nibh.,53
18,imperdiet ullamcorper. Duis,1
19,viverra.,1
20,Donec,52
21,et ipsum cursus,27
22,arcu. Vestibulum,95
23,malesuada malesuada.,23
24,interdum feugiat.,26
25,odio a purus.,86
26,"amet, faucibus ut,",7
27,faucibus orci,15
28,"pede, malesuada vel,",53
29,iaculis,96
30,"orci, in",76
31,"dolor quam,",10
32,dictum ultricies,9
33,pharetra,52
34,molestie arcu. Sed,64
35,magna.,30
36,consequat enim diam,47
37,In,60
38,a,56
39,"parturient montes, nascetur",8
40,eros turpis,54
41,ullamcorper,56
42,gravida,6
43,"Duis elementum,",29
44,"risus,",58
45,Donec nibh. Quisque,10
46,tempor augue,19
47,eu eros.,88
48,tellus lorem,67
49,"nec,",22
